Time [ms],Currrent
718733,0.928352
719235,0.954945
719737,0.957363
720239,0.929157
720741,0.932381
721243,0.946081
721745,0.956557
722247,0.938022
722749,0.94044
723251,0.966227
723753,0.951722
724255,0.958169
724757,0.965421
725259,0.944469
725761,0.923516
726263,0.924322
726765,0.954139
727267,0.956557
727769,0.958974
728271,0.967033
728773,0.967839
729275,0.939634
729777,0.949304
730279,0.942051
730781,0.946886
731283,0.942051
731785,0.954945
732287,0.963809
732789,0.966227
733291,0.966227
733793,0.933993
734295,0.93641
